"Any","zona","dat","via","pk","nomMun","nomCom","nomDem","F_MORTS","F_FERITS_GREUS","F_FERITS_LLEUS","F_VICTIMES","F_UNITATS_IMPLICADES","F_VIANANTS_IMPLICADES","F_BICICLETES_IMPLICADES","F_CICLOMOTORS_IMPLICADES","F_MOTOCICLETES_IMPLICADES","F_VEH_LLEUGERS_IMPLICADES","F_VEH_PESANTS_IMPLICADES","F_ALTRES_UNIT_IMPLICADES","F_UNIT_DESC_IMPLICADES","C_VELOCITAT_VIA","D_ACC_AMB_FUGA","D_BOIRA","D_CARACT_ENTORN","D_CARRIL_ESPECIAL","D_CIRCULACIO_MESURES_ESP","D_CLIMATOLOGIA","D_FUNC_ESP_VIA","D_GRAVETAT","D_INFLUIT_BOIRA","D_INFLUIT_CARACT_ENTORN","D_INFLUIT_CIRCULACIO","D_INFLUIT_ESTAT_CLIMA","D_INFLUIT_INTEN_VENT","D_INFLUIT_LLUMINOSITAT","D_INFLUIT_MESU_ESP","D_INFLUIT_OBJ_CALCADA","D_INFLUIT_SOLCS_RASES","D_INFLUIT_VISIBILITAT","D_INTER_SECCIO","D_LIMIT_VELOCITAT","D_LLUMINOSITAT","D_REGULACIO_PRIORITAT","D_SENTITS_VIA","D_SUBTIPUS_ACCIDENT","D_SUBTIPUS_TRAM","D_SUBZONA","D_SUPERFICIE","D_TIPUS_VIA","D_TITULARITAT_VIA","D_TRACAT_ALTIMETRIC","D_VENT","grupDiaLab","hor","grupHor","tipAcc","tipDia"
"2013","Zona urbana","08/05/2013","SE","999999","Mataró","Maresme","Barcelona","0","1","0","1","2","1","0","0","1","0","0","0","0","NA","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Semàfor","Sense especificar","Atropellament","Intersecció en T o Y","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","Feiners","7,35","Matí","Atropellament","dill-dij"
"2014","Zona urbana","21/06/2014","SE","999999","Mataró","Maresme","Barcelona","0","1","0","1","2","0","0","0","0","2","0","0","0","NA","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","Sense especificar","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","NA","Col·lisió frontal","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","CapDeSetmana","6,1","Matí","Col.lisió de vehicles en marxa","dis"
"2014","Zona urbana","27/09/2014","SE","999999","Mataró","Maresme","Barcelona","0","2","0","2","1","0","0","0","1","0","0","0","0","30","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","Sense especificar","En secció","Senyal velocitat","Alba o capvespre","NA","Un sol sentit","Xoc contra objecte/obstacle sense sortida prèvia de via","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","CapDeSetmana","7,1","Matí","Col.lisió d'un vehicle contra un obstacle de la calcada","dis"
"2014","Zona urbana","02/02/2014","SE","999999","Mataró","Maresme","Barcelona","0","1","0","1","2","1","0","0","0","1","0","0","0","NA","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Pluja dèbil","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De nit, il·luminació artificial suficient","NA","NA","Atropellament","NA","Zona urbana","Mullat","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","CapDeSetmana","6,4","Matí","Atropellament","dg"
"2014","Zona urbana","26/05/2014","SE","999999","Mataró","Maresme","Barcelona","0","1","0","1","3","1","0","0","0","2","0","0","0","NA","No","No n'hi ha","Desmunt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","Sense especificar","En secció","Genérica via","De nit, il·luminació artificial suficient","NA","Doble sentit","Atropellament","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","Feiners","21,45","Tarda","Atropellament","dill-dij"
"2014","Zona urbana","07/04/2014","SE","999999","Mataró","Maresme","Barcelona","0","1","1","2","2","0","0","0","1","1","0","0","0","NA","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Senyal Stop o cedeix pas","Un sol sentit","Envestida (frontal lateral)","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","Feiners","14,42","Tarda","Col.lisió de vehicles en marxa","dill-dij"
"2015","Zona urbana","25/02/2015","SE","999999","Mataró","Maresme","Barcelona","0","1","0","1","2","0","0","1","0","1","0","0","0","NA","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","Sense especificar","En secció","Genérica via","De dia, dia clar","NA","Doble sentit","Col·lisió frontal","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","Feiners","16,1","Tarda","Col.lisió de vehicles en marxa","dill-dij"
"2016","Zona urbana","05/03/2016","SE","999999","Mataró","Maresme","Barcelona","0","1","0","1","2","1","0","0","0","1","0","0","0","NA","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De nit, il·luminació artificial suficient","Sols marques viàries (inclou pas vianants)","Doble sentit","Atropellament","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","CapDeSetmana","19,3","Tarda","Atropellament","dis"
"2016","Carretera","11/12/2016","N-II","648,5","Mataró","Maresme","Barcelona","0","1","0","1","2","1","0","0","0","1","0","0","0","90","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Senyal velocitat","De nit, sense llum artificial","NA","Doble sentit","Atropellament","NA","Carretera","Sec i net","Carretera convencional","Estatal","Pla","Calma, vent molt suau","CapDeSetmana","22,14","Nit","Atropellament","dg"
"2016","Zona urbana","14/08/2016","SE","999999","Mataró","Maresme","Barcelona","0","1","0","1","2","0","0","0","1","1","0","0","0","NA","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","Sense especificar","Dintre intersecció","Genérica via","De dia, dia clar","Sols norma prioritat de pas","Doble sentit","Encalç","Intersecció en T o Y","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","CapDeSetmana","18,3","Tarda","Col.lisió de vehicles en marxa","dg"
"2010","Zona urbana","13/04/2010","SE","999999","Mataró","Maresme","Barcelona","0","1","0","1","2","1","0","0","0","1","0","0","0","30","No","No n'hi ha","A nivell","No n'hi ha","Obres","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","Sense especificar","Dintre intersecció","Senyal velocitat","De dia, dia clar","Persona autoritzada","Doble sentit","Atropellament","Encreuament o intersecció en X o +","Zona urbana","Relliscós","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","Feiners","9,2","Matí","Atropellament","dill-dij"
"2010","Zona urbana","02/05/2010","SE","999999","Mataró","Maresme","Barcelona","0","1","0","1","1","0","0","0","1","0","0","0","0","NA","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Pluja dèbil","Sense funció especial","Accident greu","Sense especificar","No","No","Si","Sense especificar","No","No","No","No","Sense especificar","En secció","Genérica via","De nit, il·luminació artificial suficient","NA","Doble sentit","Resta sortides de via","NA","Zona urbana","Mullat","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","CapDeSetmana","4,3","Nit","Sortida de la calcada sense especificar","dg"
"2010","Zona urbana","03/03/2010","SE","999999","Mataró","Maresme","Barcelona","0","1","0","1","2","1","0","0","1","0","0","0","0","NA","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Pluja dèbil","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia fosc","NA","Un sol sentit","Atropellament","NA","Zona urbana","Mullat","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Vent fort","Feiners","9,25","Matí","Atropellament","dill-dij"
